# Epochs: 100, Lr:0.0001, Model: Default + 1x Conv2d(128,256) 3x BatchNorm2d(64) and 128, ReduceLROnPlateau
epoch,train_loss,val_loss
1,3.9331688653426915,3.2198729915137023
2,2.7229764491078,2.972990819681464
3,2.202900206426753,2.9789754386940692
4,1.7919746021066278,3.110065060862948
5,1.4452343121376123,3.371673473405622
6,1.1584092845967102,3.688262697438489
7,0.9348219467849298,4.028681887310914
8,0.7671292810963388,4.449717261223053
9,0.44709147400514776,4.684565213470977
10,0.35366766510646164,5.016567705443542
11,0.31546251313536433,5.289079870483635
12,0.29264003880688677,5.639898743474825
13,0.2790884840520467,5.831970924705402
14,0.26994454778074745,6.063968842475482
15,0.2164967950974759,6.067200687945698
16,0.20548406633696487,6.235749059852612
17,0.20324975907238485,6.393320066357091
18,0.20135093005273969,6.457261049190079
19,0.2002217087100165,6.63884660669042
20,0.19962553280719536,6.811417267333328
21,0.1760137548290654,6.62339724818326
22,0.17121757611238253,6.694594108141386
23,0.170218941531675,6.699031662797137
24,0.1698265880065391,6.827124964237933
25,0.16958534183906535,6.994448070612428
26,0.16939079735196977,6.92905114516953
27,0.1565089968382886,6.913527337494299
28,0.1539582626218148,6.934061507294081
29,0.15329264842377535,6.89259563402173
30,0.1531703579533714,7.028557478392646
31,0.15299255501516407,6.9744307178537595
32,0.152897920102338,7.030846296752021
33,0.14564872566666248,7.01439855702862
34,0.14468774818104901,7.015778888224836
35,0.1443210718238954,7.032350053974226
36,0.14432911282965843,7.113946904064483
37,0.1440994004595058,7.0873884217951275
38,0.14403927996331398,7.150591258189976
39,0.14026679967258032,7.0885644122666
40,0.13992968696271768,7.062229718378047
41,0.1399019195473362,7.117480049485715
42,0.13977010336723167,7.1095670215324756
43,0.13973027799277532,7.079018469309915
44,0.13959255711308624,7.185979543947706
45,0.137648939176951,7.145024430877663
46,0.13747084865663284,7.135245043947326
47,0.13756749754829195,7.228232671951996
48,0.1373701495342884,7.115582740324834
49,0.13741741799272622,7.167281728524428
50,0.13729792812446812,7.125941479547711
51,0.13631165254387903,7.185995890364208
52,0.13626840555315614,7.135983702823587
53,0.13624291349620463,7.120798539971514
54,0.13620254126697562,7.236383932747992
55,0.13630894053633957,7.2509235436740145
56,0.13621272753014235,7.1409439024702275
57,0.135705364919063,7.132473887900961
58,0.13566123454505938,7.213322655467786
59,0.1356601268318683,7.107913200132447
60,0.1355897401170705,7.097682753839105
61,0.13576811157904042,7.152055395314776
62,0.13562131973801703,7.103852361215905
63,0.13543668232204692,7.189929359998459
64,0.13536221217534425,7.1685563484108465
65,0.1354260113520199,7.171825527785231
66,0.13533813898752292,7.2085697372215005
67,0.13532455440129618,7.1247109572092695
68,0.13534472899091457,7.207663918872045
69,0.1351495154544491,7.2018292766530765
70,0.13527160133292673,7.138710472378795
71,0.13521069451579892,7.221238180523005
72,0.13531079714996283,7.112109828858354
73,0.135039784197201,7.151175322935412
74,0.13524307784865527,7.18203366252272
75,0.13516001694253713,7.122870215823029
76,0.1351277512955168,7.181878621761616
77,0.1352064902095778,7.263087562126631
78,0.13516484957344496,7.215780571215473
79,0.1350212715822654,7.146003413703826
80,0.1351492231743006,7.243630763811943
81,0.1350948633848265,7.131837133188952
82,0.13508569478800556,7.178061557571273
83,0.1351691051397712,7.239573192812199
84,0.13504626804654712,7.105960560779946
85,0.135021214571599,7.134435302351754
86,0.13508665944171594,7.123289351010214
87,0.1350871543104506,7.125408405092507
88,0.13509517680780195,7.15707471683554
89,0.1350672091997771,7.060837408356357
90,0.13502360310585243,7.151759062597295
91,0.13507306623535503,7.185941862125023
92,0.13501671618137365,7.142165255942136
93,0.13509560117576455,7.120638559127106
94,0.135114741636071,7.181129077620816
95,0.1350440767131094,7.199843635026865
96,0.1350493008352436,7.242128037579279
97,0.13515384591128093,7.166597024168184
98,0.13517880304417532,7.179666847844649
99,0.13502262663421968,7.161280717785003
100,0.13515876688995873,7.247706122348031
