# Epochs: 150, Lr:0.001, Model: Without BatchNorm2d(64) and 128
epoch,loss
1,3.6361461697529727
2,2.7911456451612406
3,2.5249770246876073
4,2.3297253854585698
5,2.1725464400153824
6,2.044414014723485
7,1.9341667854939686
8,1.8390246768913865
9,1.7598140833873668
10,1.6888620259760552
11,1.6286778916661229
12,1.5758796170564082
13,1.5301811543086126
14,1.4909413725872822
15,1.4552994725111967
16,1.4250165956308285
17,1.3955027017737618
18,1.3726299157543331
19,1.3504781085027509
20,1.3311392922265466
21,1.3116049997054984
22,1.2934315836725438
23,1.2779192174529475
24,1.2625446227949795
25,1.2510133480795496
26,1.2400715511525173
27,1.228350518349025
28,1.2194394241849016
29,1.2092646287358382
30,1.1998733590655786
31,1.192345281014878
32,1.185630755051504
33,1.1783120436164654
34,1.174499968316766
35,1.1670350767489408
36,1.161438017195595
37,1.15557453458491
38,1.1530456131531694
39,1.148026482739887
40,1.1456166107999692
41,1.139621078615105
42,1.1366662474732292
43,1.1342437580928117
44,1.1336674997981357
45,1.1273558851127181
46,1.129272231722414
47,1.1252100091089514
48,1.1232696236654618
49,1.1207613590693073
50,1.1202598265652168
51,1.120629434556077
52,1.1128066823818281
53,1.1162482339835702
54,1.1138740018400175
55,1.1094308640745203
56,1.1097054981381462
57,1.1089067413898275
58,1.1091114234275081
59,1.1054544448043244
60,1.107550053855651
61,1.105426703803615
62,1.1044619352967524
63,1.1015558836079204
64,1.1005091400557248
65,1.099754534003655
66,1.1022572765129495
67,1.102238169618436
68,1.1019291614894011
69,1.102339507621761
70,1.0998381311118157
71,1.101641067151904
72,1.0985074515295774
73,1.0998750853149153
74,1.1000043508279393
75,1.1005084045541011
76,1.0981443964347875
77,1.0963324748854693
78,1.1010288194495197
79,1.1015598260615398
80,1.0988996421476112
81,1.0961881538740226
82,1.0986995195055689
83,1.0999167542467652
84,1.1011152365920391
85,1.1000449512418853
86,1.0969099475219346
87,1.099512799379467
88,1.100649248989871
89,1.1021087102565577
90,1.1012783828113129
91,1.1010258182272918
92,1.1044507323076995
93,1.1035204500537692
94,1.1038903084902452
95,1.1023568117376672
96,1.0999233392404109
97,1.1035188564309493
98,1.1066536105707814
99,1.1062606531605963
100,1.1095429673906705
101,1.1063819675300064
102,1.1066236367226185
103,1.1096907846212045
104,1.1090537334465014
105,1.1095060652635158
106,1.1128717119642322
107,1.1096950723339531
108,1.1149927894391292
109,1.1081153898251006
110,1.111960130403455
111,1.111344215491243
112,1.112546705681247
113,1.1152792732788623
114,1.1155760361794533
115,1.1160123040636192
116,1.1159269569451933
117,1.1186807353762989
